순번,출원번호
1,1020247034158
2,1020240012429
3,1020237027372
4,1020240008681
5,1020237038972
6,1020247022272
7,1020240000120
8,1020230112588
9,1020210031067
10,1020230107629
11,1020220177568
12,1020257009213
13,1020230123703
14,1020257021211
15,1020217041568
16,1020230054125
17,1020257012221
18,1020257008345
19,1020237041595
20,1020217040810
21,1020220113998
22,1020220004718
23,1020240201336
24,1020227045844
25,1020240050178
26,1020230020514
27,1020230155140
28,1020230161856
29,1020257024391
30,1020257008020
31,1020257023018
32,1020257023334
33,1020257016574
34,1020257003053
35,1020247037312
36,1020227025051
37,1020247012239
38,1020257001429
39,1020240012749
40,1020240012756
41,1020220092029
42,1020230163014
43,1020250079411
44,1020230164362
45,1020220089474
46,1020230152722
47,1020230141862
48,1020240078785
49,1020240193923
50,1020230065181
51,1020247023704
52,1020257025426
53,1020257006522
54,1020237030454
55,1020257023622
56,1020257019149
57,1020230062109
58,1020247011829
59,1020230112603
60,1020230117774
61,1020230079386
62,1020250137822
63,1020240042450
64,1020220004167
65,1020230112069
66,1020257014221
67,1020230174875
68,1020240146660
69,1020230048487
70,1020230197836
71,1020240059256
72,1020230105762
73,1020257014974
74,1020230170849
75,1020237012252
76,1020230173271
77,1020227042262
78,1020240049768
79,1020210106857
80,1020230177976
81,1020230097833
82,1020240067397
83,1020230018476
84,1020257007646
85,1020237015403
86,1020230054036
87,1020197034745
88,1020257010939
89,1020247027139
90,1020240053797
91,1020257024468
92,1020220075665
93,1020240096918
94,1020240167382
95,1020230138424
96,1020230002728
97,1020240126417
98,1020230018478
99,1020220007661
100,1020220071355
101,1020230071466
102,1020240040183
103,1020230002493
104,1020240002778
105,1020240104123
106,1020237031643
107,1020237025679
108,1020240034466
109,1020240035228
110,1020237038607
111,1020230024563
112,1020217032708
113,1020247033859
114,1020240031866
115,1020230055486
116,1020250064660
117,1020230147882
118,1020230011995
119,1020220170759
120,1020230162076
121,1020250018994
122,1020230140989
123,1020220094931
124,1020230115272
125,1020210147352
126,1020210180325
127,1020220064600
128,1020210147338
129,1020240164649
130,1020230138078
131,1020250014416
132,1020250030577
133,1020220188260
134,1020230116805
135,1020227006752
136,1020257000756
137,1020240189484
138,1020230071464
139,1020230071465
140,1020220179122
141,1020210083688
142,1020200051439
143,1020220184864
144,1020257035464
145,1020237008886
146,1020207036092
147,1020230023601
148,1020230102532
149,1020257018749
150,1020227011227
151,1020230192562
152,1020220152139
153,1020230165393
154,1020257017136
155,1020230024321
156,1020210112962
157,1020247043417
158,1020247015915
159,1020210113561
160,1020247015917
161,1020247015916
162,1020200078799
163,1020247015918
164,1020237002221
165,1020237008484
166,1020237008099
167,1020257028772
168,1020257028781
169,1020237003491
170,1020257029147
171,1020257028787
172,1020237024551
173,1020257036077
174,1020257015877
175,1020250043472
176,1020240066297
177,1020210165434
178,1020237015768
179,1020237034560
180,1020257028809
181,1020227026619
182,1020200111535
183,1020237022475
184,1020200069493
185,1020200008893
186,1020257031242
187,1020220033689
188,1020237035178
189,1020217036971
190,1020227037557
191,1020227031146
192,1020237043300
193,1020257029620
194,1020257016970
195,1020247042600
196,1020257010251
197,1020257028425
198,1020257006027
199,1020257016254
200,1020257005456
201,1020257003996
202,1020257005245
203,1020247043528
204,1020247040314
205,1020257007663
206,1020247009240
207,1020247008680
208,1020247023456
209,1020247024538
210,1020247012781
211,1020247025104
212,1020247001617
213,1020247011524
214,1020237043907
215,1020237030391
216,1020237027097
217,1020237042385
218,1020237039572
219,1020227036600
220,1020237011762
221,1020227032261
222,1020227032338
223,1020227033915
224,1020227038763
225,1020220090170
226,1020220090858
227,1020217040637
228,1020217021771
229,1020217041492
230,1020217015428
231,1020257015629
232,1020257007839
233,1020240031315
234,1020220033313
235,1020200044088
236,1020217025893
237,1020257001328
238,1020257026933
239,1020227029545
240,1020200095127
241,1020240005875
242,1020200009232
243,1020250076074
244,1020230133133
245,1020250002658
246,1020257020325
247,1020230050301
248,1020200095452
249,1020250053528
250,1020230146387
251,1020230124558
252,1020240050916
253,1020240031354
254,1020240119066
255,1020240115577
256,1020247029755
257,1020230028350
258,1020237024658
259,1020257000517
260,1020227029824
261,1020257009109
262,1020247024773
263,1020237016612
264,1020237025827
265,1020257009425
266,1020257007252
267,1020227046092
268,1020240139553
269,1020240042182
270,1020250036492
271,1020257021110
272,1020247025834
273,1020237044792
274,1020257028223
275,1020240001171
276,1020230058283
277,1020247035750
278,1020257022665
279,1020257021396
280,1020230139238
281,1020220180781
282,1020230065961
283,1020230053651
284,1020230050381
285,1020230039851
286,1020230046718
287,1020230058856
288,1020230035506
289,1020230043847
290,1020230056799
291,1020227008481
292,1020237001053
293,1020247021182
294,1020257016478
295,1020247023816
296,1020257007540
297,1020247013117
298,1020237042790
299,1020227004111
300,1020257009789
301,1020247021183
302,1020227023815
303,1020257026947
304,1020257025905
305,1020227021672
306,1020257013639
307,1020237033000
308,1020237012483
309,1020220168851
310,1020227011422
311,1020227008386
312,1020220148046
313,1020217032014
314,1020247031609
315,1020257009376
316,1020237034002
317,1020247042353
318,1020257012712
319,1020217005135
320,1020257016402
321,1020230160573
322,1020240016520
323,1020227010952
324,1020247026176
325,1020247039802
326,1020237012296
327,1020257025511
328,1020247011465
329,1020237023209
330,1020247013965
331,1020217041098
332,1020227039892
333,1020230055039
334,1020230060655
335,1020237037401
336,1020257007760
337,1020247026171
338,1020247022449
339,1020250054552
340,1020230131195
341,1020227024786
342,1020240071111
343,1020247003524
344,1020257008096
345,1020247043277
346,1020257003715
347,1020257008502
348,1020247037382
349,1020247009674
350,1020237040866
351,1020237014457
352,1020237017718
353,1020227026311
354,1020230026352
355,1020227016158
356,1020247043199
357,1020207037419
358,1020257029308
359,1020257026922
360,1020237029180
361,1020247011421
362,1020230022191
363,1020247034822
364,1020210030895
365,1020247038970
366,1020240022202
367,1020210102835
368,1020247037278
369,1020240059583
370,1020237025964
371,1020220147720
372,1020190095703
373,1020220174724
374,1020230061394
375,1020210029150
376,1020230135367
377,1020237002348
378,1020230011027
379,1020237003479
380,1020230063492
381,1020220191138
382,1020247004967
383,1020237029719
384,1020200133081
385,1020230103570
386,1020237003007
387,1020250136206
388,1020257033823
389,1020230076891
390,1020237042404
391,1020220142957
392,1020220140344
393,1020230116409
394,1020247011717
395,1020257010126
396,1020220186856
397,1020247009520
398,1020240029261
399,1020240149988
400,1020227017118
401,1020207027725
402,1020227017463
403,1020250037780
404,1020257029485
405,1020257032042
406,1020230113493
407,1020247012930
408,1020220148752
409,1020220092566
410,1020210191649
411,1020240068795
412,1020240000575
413,1020257008532
414,1020237003264
415,1020220124705
416,1020230101864
417,1020237000421
418,1020220062944
419,1020257025170
420,1020257023520
421,1020257020460
422,1020257017030
423,1020257011040
424,1020257022961
425,1020210154793
426,1020257001990
427,1020257001030
428,1020257021448
429,1020257011026
430,1020257003997
431,1020257014334
432,1020257016735
433,1020257012455
434,1020257011235
435,1020247037707
436,1020247037057
437,1020257008195
438,1020257006595
439,1020247039496
440,1020257008562
441,1020247042924
442,1020257013103
443,1020247027677
444,1020247025831
445,1020247025707
446,1020257009053
447,1020247035984
448,1020247026786
449,1020247038492
450,1020247015767
451,1020247040433
452,1020247039503
453,1020247039333
454,1020247023115
455,1020247011776
456,1020237042890
457,1020247001921
458,1020247018115
459,1020237037320
460,1020247010155
461,1020247002968
462,1020247008055
463,1020247007942
464,1020237042375
465,1020237026017
466,1020237026198
467,1020237024594
468,1020237024505
469,1020237011046
470,1020237033833
471,1020237014048
472,1020237018895
473,1020237020582
474,1020230159981
475,1020237013655
476,1020237001084
477,1020227040891
478,1020227039661
479,1020227038447
480,1020227036807
481,1020227034337
482,1020227032021
483,1020237002353
484,1020227039858
485,1020227036498
486,1020227025738
487,1020227017608
488,1020217028160
489,1020217042561
490,1020217014710
491,1020217022142
492,1020210045082
493,1020257028069
494,1020257012139
495,1020237026009
496,1020237013569
497,1020227026229
498,1020220064689
499,1020230135365
500,1020230112539
501,1020240028003
502,1020220149683
503,1020210041811
504,1020257029141
505,1020240056058
506,1020220113299
507,1020240029500
508,1020200024173
509,1020257027868
510,1020200011949
511,1020240000411
512,1020220054222
513,1020220171516
514,1020247033823
515,1020200039923
516,1020240123197
517,1020210019206
518,1020230035929
519,1020257025477
520,1020210073520
521,1020250011505
522,1020220134122
523,1020230032458
524,1020230147775
525,1020190145572
526,1020250096543
527,1020210028338
528,1020250004722
529,1020240085061
530,1020220081701
531,1020240001077
532,1020220069190
533,1020250082698
534,1020240193710
535,1020230187252
536,1020247040976
537,1020220081597
538,1020257019393
539,1020230176340
540,1020230125280
541,1020257016508
542,1020230153824
543,1020230153028
544,1020257013356
545,1020257012617
546,1020230138421
547,1020230138422
548,1020230138558
549,1020230138423
550,1020257010913
551,1020210085705
552,1020257010177
553,1020230116552
554,1020240039047
555,1020230126430
556,1020230039822
557,1020220016681
558,1020210044655
559,1020220024676
560,1020200143653
561,1020257007309
562,1020220016184
563,1020220053641
564,1020210003408
565,1020257003799
566,1020250015383
567,1020210184739
568,1020230127047
569,1020230105657
570,1020230106932
571,1020240184698
572,1020240077935
573,1020230136741
574,1020240029265
575,1020230076447
576,1020247035131
577,1020210169220
578,1020230121072
579,1020240072554
580,1020230004123
581,1020220177811
582,1020220170105
583,1020220190942
584,1020220162577
585,1020257030099
586,1020237013175
587,1020250054800
588,1020257025752
589,1020257002911
590,1020247011391
591,1020237043701
592,1020237040636
593,1020250061546
594,1020230113981
595,1020230021625
596,1020237018644
597,1020247026127
598,1020247023087
599,1020227008801
600,1020227008810
601,1020237041761
602,1020257035525
603,1020230121722
604,1020217006105
605,1020230022181
606,1020217038013
607,1020220144809
608,1020247038901
609,1020247016576
610,1020247015476
611,1020240035391
612,1020240019814
613,1020237041703
614,1020230032253
615,1020227044053
616,1020220016203
617,1020200065191
618,1020230018636
619,1020257024200
620,1020210064235
621,1020240076026
622,1020240158373
623,1020247035893
624,1020230103181
625,1020257029820
626,1020227010928
627,1020237020033
628,1020237039974
629,1020230188603
630,1020257015721
631,1020257005551
632,1020247000990
633,1020247004016
634,1020237042805
635,1020237017681
636,1020227038324
637,1020257027000
638,1020240064841
639,1020240003708
640,1020257017428
641,1020230161316
642,1020240143706
643,1020240157012
644,1020220153426
645,1020220070273
646,1020230117045
647,1020230163848
648,1020240019246
649,1020230153732
650,1020230160668
651,1020220161285
652,1020230037511
653,1020257029138
654,1020257029145
655,1020257028955
656,1020220074702
657,1020220166618
658,1020257028896
659,1020257028067
660,1020257028904
661,1020257028784
662,1020237035224
663,1020230030574
664,1020257028623
665,1020220049991
666,1020230124805
667,1020220067548
668,1020200151875
669,1020230096267
670,1020200151806
671,1020220148977
672,1020237012823
673,1020200151787
674,1020200151794
675,1020190166004
676,1020220051172
677,1020217017038
678,1020237025766
679,1020237002921
680,1020247018278
681,1020227042711
682,1020237000985
683,1020227043288
684,1020230098636
685,1020247004365
686,1020220144385
687,1020237012804
688,1020230142473
689,1020220177081
690,1020257002417
691,1020257012551
692,1020200087992
693,1020247007744
694,1020210009474
695,1020230029243
696,1020240023000
697,1020220162790
698,1020247003051
699,1020200117000
700,1020247024798
701,1020247021618
702,1020240012432
703,1020230120832
704,1020220186138
705,1020227040957
706,1020220161777
707,1020220054815
708,1020217036723
709,1020237036045
710,1020190124607
711,1020250156133
712,1020240060980
713,1020247033118
714,1020240055202
715,1020210182578
716,1020190176027
717,1020240055524
718,1020200078251
719,1020227016148
720,1020230011166
721,1020210109436
722,1020237025757
723,1020190158475
724,1020210159308
725,1020200020750
726,1020210182951
727,1020230083357
728,1020210113866
729,1020220084314
730,1020237010222
731,1020230081607
732,1020247006478
733,1020240053638
734,1020237003128
735,1020200188787
736,1020200015446
737,1020220185883
738,1020200175813
739,1020257028949
740,1020230160441
741,1020257010608
742,1020247005498
743,1020257031542
744,1020257028598
745,1020227011933
746,1020237008252
747,1020210192381
748,1020237024905
749,1020240001292
750,1020210194596
751,1020220097705
752,1020210193485
753,1020257036699
754,1020247017762
755,1020227000332
756,1020240084278
757,1020230017894
758,1020240071493
759,1020257030545
760,1020210194595
761,1020207034595
762,1020240038370
763,1020240071754
764,1020227008822
765,1020200075655
766,1020210002443
767,1020240023001
768,1020240002857
769,1020217025943
770,1020217025582
771,1020210194265
772,1020257002356
773,1020240008636
774,1020257010498
775,1020257028519
776,1020240020531
777,1020200086089
778,1020230191350
779,1020247027682
780,1020210194264
781,1020240013093
782,1020240046746
783,1020237036986
784,1020237009216
785,1020240045838
786,1020200108307
787,1020210120094
788,1020257030341
789,1020240044436
790,1020240052049
791,1020240045012
792,1020240006172
793,1020227018294
794,1020257026419
795,1020230185069
796,1020220121402
797,1020220061662
798,1020247011138
799,1020220137508
800,1020247010996
801,1020237026152
802,1020220083052
803,1020247015600
804,1020217036101
805,1020247014788
806,1020230101047
807,1020220186268
808,1020220124518
809,1020247014415
810,1020220126306
811,1020220013702
812,1020247014413
813,1020227023045
814,1020217037923
815,1020240022999
816,1020247016469
817,1020240049379
818,1020230190509
819,1020237014027
820,1020240037925
821,1020240030479
822,1020230086789
823,1020220006655
824,1020210120285
825,1020200177517
826,1020237011985
827,1020257029250
828,1020257028661
829,1020250128561
830,1020257028098
831,1020220120908
832,1020200132834
833,1020247015599
834,1020257027387
835,1020257025481
836,1020257010300
837,1020257010120
838,1020257009900
839,1020257009610
840,1020220141019
841,1020257010267
842,1020257010137
843,1020257025385
844,1020257010596
845,1020257010276
846,1020257010266
847,1020257002817
848,1020257027082
849,1020257008026
850,1020257008006
851,1020257001041
852,1020257018935
853,1020257025482
854,1020257015404
855,1020257022532
856,1020257016095
857,1020257009318
858,1020257012544
859,1020257014775
860,1020257006978
861,1020257010264
862,1020257010134
863,1020257012245
864,1020247038587
865,1020257023343
866,1020257010125
867,1020257008375
868,1020247042116
869,1020257007635
870,1020257007475
871,1020247034831
872,1020247032121
873,1020257010142
874,1020247041178
875,1020247035476
876,1020257006402
877,1020247038888
878,1020247038538
879,1020247014850
880,1020247026607
881,1020247042545
882,1020247024827
883,1020247024587
884,1020257008553
885,1020247039235
886,1020247036624
887,1020257004053
888,1020247006180
889,1020247028438
890,1020247031494
891,1020257000043
892,1020247015597
893,1020247014417
894,1020247027874
895,1020247035172
896,1020247017516
897,1020247010801
898,1020247038813
899,1020247022834
900,1020247036713
901,1020247020824
902,1020247022795
903,1020237045180
904,1020247005947
905,1020247015598
906,1020247003281
907,1020247025532
908,1020247032173
909,1020247011244
910,1020247007578
911,1020247010264
912,1020247007934
913,1020247010265
914,1020247015182
915,1020247009585
916,1020237042941
917,1020247001078
918,1020247007105
919,1020237042601
920,1020237043277
921,1020247010802
922,1020240126868
923,1020247003925
924,1020247016563
925,1020240008456
926,1020237044126
927,1020237043436
928,1020237042776
929,1020247003092
930,1020237044168
931,1020237041978
932,1020237036596
933,1020237039518
934,1020237042914
935,1020237043775
936,1020237042785
937,1020247000523
938,1020237043572
939,1020237042332
940,1020237006640
941,1020237025816
942,1020237029304
943,1020237031185
944,1020237014587
945,1020237023978
946,1020237040143
947,1020237009851
948,1020237032272
949,1020237016286
950,1020237039343
951,1020237009367
952,1020237013836
953,1020237020284
954,1020237022485
955,1020237030113
956,1020237009258
957,1020230137211
958,1020230112606
959,1020227046271
960,1020227044711
961,1020227046207
962,1020230061416
963,1020237007192
964,1020227045347
965,1020227043491
966,1020230165685
967,1020227038781
968,1020227044608
969,1020227039656
970,1020227035067
971,1020227037716
972,1020230103342
973,1020227038578
974,1020227033916
975,1020227036208
976,1020227034898
977,1020227030626
978,1020227034218
979,1020227038775
980,1020227038422
981,1020227031304
982,1020220126500
983,1020227016146
984,1020227019715
985,1020220039450
986,1020227016254
987,1020227022332
988,1020227004796
989,1020227004656
990,1020227015915
991,1020227014414
992,1020227004644
993,1020227004615
994,1020227003545
995,1020220030717
996,1020220074706
997,1020227004442
998,1020227008223
999,1020217035407
1000,1020217026537
1001,1020217003270
1002,1020217015831
1003,1020217025888
1004,1020220024943
1005,1020217009877
1006,1020217028142
1007,1020210168047
1008,1020217028213
1009,1020217018532
1010,1020210111206
1011,1020217011653
1012,1020207030695
1013,1020207037712
1014,1020210034863
1015,1020200123040
1016,1020207037713
1017,1020200123706
1018,1020200087292
1019,1020257010139
1020,1020257010129
1021,1020257004619
1022,1020257000059
1023,1020247040529
1024,1020247033599
1025,1020247014419
1026,1020247014149
1027,1020247003129
1028,1020237032679
1029,1020237002489
1030,1020230099659
1031,1020227045559
1032,1020227045229
1033,1020227038349
1034,1020227035479
1035,1020220178939
1036,1020220083229
1037,1020217003269
1038,1020200123931
1039,1020230159816
1040,1020230134879
1041,1020250015905
1042,1020220147593
1043,1020240030595
1044,1020220145055
1045,1020240031004
1046,1020247031503
1047,1020200154796
1048,1020230102110
1049,1020240073719
1050,1020250114151
1051,1020230055347
1052,1020230190343
1053,1020220051195
1054,1020230158320
1055,1020230197809
1056,1020190105256
1057,1020240108819
1058,1020240078393
1059,1020230006173
1060,1020240029081
1061,1020240026736
1062,1020230169055
1063,1020200080993
1064,1020230003687
1065,1020210126598
1066,1020200149273
1067,1020237038498
1068,1020230175875
1069,1020230006172
1070,1020210154784
1071,1020220013703
1072,1020240013207
1073,1020230102351
1074,1020250032612
1075,1020250059013
1076,1020200074268
1077,1020237041350
1078,1020210169230
1079,1020230190990
1080,1020230137698
1081,1020200166468
1082,1020230037428
1083,1020220117779
1084,1020240049699
1085,1020220146885
1086,1020200024822
1087,1020200188276
1088,1020230144886
1089,1020210101756
1090,1020257025751
1091,1020250024684
1092,1020240013127
1093,1020240012875
1094,1020230129275
1095,1020227003009
1096,1020230098336
1097,1020200172213
1098,1020190126832
1099,1020220103946
1100,1020230156029
1101,1020240010911
1102,1020250024682
1103,1020230095671
1104,1020257012887
1105,1020230181152
1106,1020220177078
1107,1020217033105
1108,1020240009753
1109,1020250024690
1110,1020240034972
1111,1020250024688
1112,1020240022996
1113,1020240022998
1114,1020240022995
1115,1020240022994
1116,1020240022874
1117,1020247012633
1118,1020220129066
1119,1020240024120
1120,1020220113312
1121,1020220114847
1122,1020257021944
1123,1020250032007
1124,1020220081910
1125,1020240000112
1126,1020230178634
1127,1020237029640
1128,1020240192349
1129,1020240187255
1130,1020237044399
1131,1020230129050
1132,1020220065250
1133,1020200132759
1134,1020230184272
1135,1020230179875
1136,1020230181016
1137,1020257019193
1138,1020240110756
1139,1020240083743
1140,1020210139115
1141,1020230176540
1142,1020220040466
1143,1020230175639
1144,1020240089571
1145,1020210149516
1146,1020200016899
1147,1020250053879
1148,1020230169160
1149,1020257015650
1150,1020230135564
1151,1020220090307
1152,1020220158345
1153,1020220158346
1154,1020220095990
1155,1020210034835
1156,1020230162688
1157,1020230160535
1158,1020230157716
1159,1020190085650
1160,1020257003064
1161,1020247033584
1162,1020220189714
1163,1020240078829
1164,1020240191743
1165,1020230144372
1166,1020200118762
1167,1020230005895
1168,1020220064714
1169,1020230021562
1170,1020230138305
1171,1020257012526
1172,1020240007015
1173,1020240138790
1174,1020257011946
1175,1020240002721
1176,1020240091628
1177,1020210033796
1178,1020257010448
1179,1020250032354
1180,1020257008937
1181,1020257008460
1182,1020240130560
1183,1020230139389
1184,1020220040990
1185,1020220030319
1186,1020230125581
1187,1020257007766
1188,1020240122117
1189,1020247033762
1190,1020230117037
1191,1020210147372
1192,1020247038878
1193,1020240108349
1194,1020210147366
1195,1020210108876
1196,1020230111996
1197,1020210116914
1198,1020210079984
1199,1020237002236
1200,1020230086678
1201,1020230084060
1202,1020210140401
1203,1020247008072
1204,1020250006786
1205,1020230113396
1206,1020230192847
1207,1020230087231
1208,1020240154612
1209,1020230164845
1210,1020230028165
1211,1020230119968
1212,1020210163767
1213,1020210161332
1214,1020240014362
1215,1020230077324
1216,1020220009612
1217,1020220162379
1218,1020220155291
1219,1020247032110
1220,1020240134000
1221,1020210095159
1222,1020230028010
1223,1020230015834
1224,1020230013248
1225,1020230180285
1226,1020230010981
1227,1020230057771
1228,1020230007388
1229,1020240079506
1230,1020210086614
1231,1020230186774
1232,1020220167029
1233,1020220159907
1234,1020230105162
1235,1020240024527
1236,1020240024526
1237,1020230090527
1238,1020230099753
1239,1020200180385
1240,1020230028571
1241,1020200113975
1242,1020200111310
1243,1020257028770
1244,1020257028798
1245,1020230177172
1246,1020220099268
1247,1020257028984
1248,1020257028954
1249,1020257034391
1250,1020217022903
1251,1020190135438
1252,1020237034990
1253,1020230170170
1254,1020210003123
1255,1020210027330
1256,1020200155423
1257,1020227023190
1258,1020220147792
1259,1020227045846
1260,1020220141511
1261,1020220163222
1262,1020230175872
1263,1020220175235
1264,1020230101722
1265,1020230012654
1266,1020220187614
1267,1020220157273
1268,1020230031474
1269,1020237016972
1270,1020237017255
1271,1020230090728
1272,1020250008360
1273,1020220129260
1274,1020210127425
1275,1020210069912
1276,1020230070428
1277,1020220067158
1278,1020257027333
1279,1020230174121
1280,1020240050782
1281,1020250044783
1282,1020257032506
1283,1020247032462
1284,1020237012915
1285,1020230062758
1286,1020257031850
1287,1020217036964
1288,1020230184238
1289,1020227010805
1290,1020247018302
1291,1020237033880
1292,1020257020237
1293,1020240107056
1294,1020257024402
1295,1020250135150
1296,1020220110186
1297,1020220136628
1298,1020210110297
1299,1020257029507
1300,1020240041146
1301,1020220138121
1302,1020230037798
1303,1020220128818
1304,1020220116328
1305,1020247014144
1306,1020220135152
1307,1020237037572
1308,1020240016687
1309,1020200073717
1310,1020200087709
1311,1020240037631
1312,1020217034360
1313,1020240037028
1314,1020220118692
1315,1020257004231
1316,1020220170641
1317,1020240013154
1318,1020257022267
1319,1020257014187
1320,1020257012557
1321,1020257011621
1322,1020257022118
1323,1020257010131
1324,1020257008697
1325,1020257006817
1326,1020257009446
1327,1020257018134
1328,1020247028640
1329,1020257023383
1330,1020247034711
1331,1020257011932
1332,1020247033061
1333,1020257010132
